N,kernel_lang,kernel_name
11,"""python""","""conda-env-deepLearning-py"""
11,"""python""","""conda-env-my-py3-env-py"""
11,"""python""","""conda-env-python-2.7-py"""
11,"""python""","""conda-env-Anaconda2-py"""
11,"""python""","""python3_sfam"""
11,"""python""","""sbmlutils"""
11,"""python""","""conda-env-Jadhav-2016-Data-Analysis-py"""
11,"""python""","""neon"""
11,"""python""","""myenv"""
11,"""python""","""augur"""
11,"""python""","""python3.6"""
11,"""R""","""ir33"""
11,"""python""","""py35"""
11,"""""","""r"""
11,"""python""","""deep-learning"""
10,"""python""","""puzzles_venv"""
10,"""julia""","""julia 0.4"""
10,"""python""","""conda-env-PY27_Test-py"""
10,"""python""","""python"""
10,"""python""","""psci"""
10,"""python""","""Python [insight]"""
10,"""python""","""beam_venv_kernel"""
10,"""python""","""conda-env-myconda-py"""
10,"""python""","""conda_drl"""
10,"""python""","""conda-env-cfm-py"""
10,"""scala""","""toree_scala"""
10,"""python""","""legacypipe-master"""
10,"""python""","""conda-env-PY36-py"""
10,"""python""","""conda-env-py2_ley0.4-py"""
10,"""python""","""tensordev"""
10,"""python""","""Python [snowflakes]"""
10,"""javascript""","""eclair"""
10,"""python""","""protein_binding"""
10,"""python""","""scratch"""
10,"""python""","""quant"""
10,"""python""","""pui2016_python2"""
10,"""python""","""conda-env-kwturing-py"""
9,"""python""","""conda-env-tensorflow1.1-py"""
9,"""ncl""","""ncl_kernel"""
9,"""python""","""conda-env-ds100-py"""
9,"""go""","""lgo"""
9,"""python""","""jyidv_kernel"""
9,"""scheme""","""calysto_scheme"""
9,"""""","""python3.4"""
9,"""python""","""conda-env-IOOS3-py"""
9,"""python""","""pyspark1.6"""
9,"""racket""","""racket"""
9,"""python""","""conda-env-lab_conda-py"""
9,"""python""","""notebook3"""
9,"""python""","""conda-env-dev-py"""
9,"""python""","""py2"""
9,"""python""","""widgets-tutorial"""
9,"""javascript""","""nodejs"""
9,"""python""","""Python [spint]"""
9,"""hy""","""calysto_hy"""
9,"""python""","""conda-env-anaconda431-py35-py"""
9,"""""","""toree"""
9,"""python""","""nams"""
8,"""python""","""Python [py2]"""
8,"""gap""","""gap-native"""
8,"""python""","""snorkel-0.6"""
8,"""python""","""conda-env-RoboND-py"""
8,"""python""","""conda-env-p2-py"""
8,"""python""","""Python [tensorflow]"""
8,"""python""","""conda-env-new-py"""
8,"""lisp""","""lisp"""
8,"""python""","""Python [ana35]"""
8,"""python""","""conda-env-DAND-py"""
8,"""python""","""Python [qutip]"""
8,"""python""","""pyspark1.6python2"""
8,"""hy""","""hy"""
8,"""python3.5""","""python3"""
8,"""python""","""iris_python2"""
8,"""python""","""conda-env-clipseq-py"""
8,"""Elixir""","""ielixir"""
8,"""python""","""Python [py3k]"""
7,"""python""","""conda-env-binder-py"""
7,"""""","""archivespark_dynamic"""
7,"""python""","""conda-env-generic1-py"""
7,"""python""","""mlcv360"""
7,"""regent""","""regent"""
7,"""python""","""conda-env-tf1.3-py"""
7,"""python""","""ak"""
7,"""python""","""conda-env-seg_ml_contest_py2-py"""
7,"""python3.4""","""python3"""
7,"""python""","""conda-env-anaconda3-py"""
7,"""python""","""conda-env-opendata-py"""
7,"""python""","""conda-env-marvin-py3-py"""
7,"""python""","""conda-env-python_workshop-py"""
7,"""python""","""Python [bayes]"""
7,"""python""","""conda-env-extreme-py"""
7,"""python""","""conda-env-py3k-py"""
7,"""R""","""r"""
7,"""csharp""","""csharp"""
7,"""python""","""conda-env-multispot_paper-py"""
7,"""python""","""conda_video-processing"""
6,"""python""","""conda-env-deepchem-py"""
6,"""python""","""conda-env-qstem-py"""
6,"""python""","""conda_python352-ml"""
6,"""R""","""ir34"""
6,"""lua""","""splash"""
6,"""python""","""tf-lattice"""
6,"""python""","""python35"""
6,"""python""","""conda-env-django-py"""
6,"""python""","""conda-env-CarND-TensorFlow-Lab-py"""
6,"""python""","""oceano"""
6,"""python""","""tf_venv"""
6,"""scala""","""scala-spark21"""
6,"""python""","""conda-env-anaconda27-py"""
6,"""python""","""conda-env-flyingpigeon-py"""
6,"""python""","""conda-env-abelian-py"""
6,"""python""","""pythonwithpixiedustspark23"""
6,"""python""","""conda-env-udacity-py"""
6,"""python""","""conda-env-cis_env-py"""
6,"""python""","""py-bbn"""
6,"""python""","""conda-env-better-work-done-faster-py"""
6,"""python""","""conda-env-evolimmune-py"""
6,"""python""","""conda-env-ds100win-py"""
6,"""python""","""conda-env-venv_py27-py"""
6,"""""","""srv2-analysis-kernel"""
6,"""SQL""","""sql"""
6,"""python""","""Python [colour-2.7]"""
6,"""python""","""tf-alpha"""
6,"""""","""python-3.5"""
6,"""python""","""conda-env-tf-cpu-py"""
6,"""python""","""conda-env-freediscovery-env-py"""
6,"""python""","""dcprogsgcc"""
6,"""python""","""conda-env-ml-py"""
6,"""python""","""pygrass"""
6,"""python""","""conda-env-desi-py"""
6,"""python""","""conda-env-mwl-py"""
6,"""python""","""conda-env-tensorflow-gpu-py"""
6,"""python""","""conda-env-emp-py2-py"""
6,"""python""","""conda-env-pextant-py"""
6,"""python""","""Python [Jadhav-2016-Data-Analysis]"""
6,"""fricas""","""fricas"""
6,,"""sage-7.6"""
6,"""python""","""conda-env-fretbursts-dev-py"""
6,"""maxima""","""maxima"""
6,"""python""","""femagtools-workshop"""
6,"""python""","""conda-env-ipykernel_py2-py"""
6,"""R""","""conda-env-py3_ley0.4-r"""
6,"""python""","""conda-env-cntk35-py"""
6,"""python""","""conda-env-deuteronomy-py"""
5,"""python""","""pygchem_py27"""
5,"""scala210""","""scala210"""
5,"""python""","""env"""
5,"""R""","""conda-env-SIPSim_py3-r"""
5,"""python""","""Python [TPInsa]"""
5,"""python""","""Python [ml]"""
5,"""""","""srv1-analysis-kernel"""
5,"""python""","""conda-env-atn-tools-py"""
5,"""python""","""conda-env-compana16-py"""
5,"""""","""cling-cpp11"""
5,"""python""","""conda-env-tf27-py"""
5,"""python""","""conda-env-playground-py"""
5,"""python""","""conda-env-datasci-py"""
5,"""R""","""ir35"""
5,"""python""","""conda-env-pyfor_env-py"""
5,"""python""","""tensorflow-env"""
5,"""python""","""conda-env-systematic-ar-study-py"""
5,"""python""","""paper_platform-m0k6jask"""
5,"""python""","""conda-env-dftools-py"""
5,"""python""","""dl"""
5,"""python""","""other-env"""
5,"""python""","""conda-env-network-py"""
5,"""python""","""py36deepudacity"""
5,"""python""","""python-kernel-GCB535"""
5,"""python""","""dspsp-analysis"""
5,"""""","""python3.5"""
5,"""python""","""venvltp"""
5,"""python""","""conda-env-bhplayground-py"""
5,"""matlab""","""matlab_kernel"""
5,"""python""","""anaconda_py2"""
5,"""python""","""Python [stable]"""
5,"""""","""archivespark"""
5,,"""julia"""
5,"""python""","""conda-env-web-env-py"""
4,"""scala""","""scala-develop"""
4,"""python""","""insightpy3"""
4,"""scala""","""idax-scala"""
4,"""python""",""""""
4,"""python""","""conda-env-anaconda2-py"""
4,"""python""","""conda-env-datamining-py"""
4,"""python""","""Python [oldscikit]"""
4,"""python""","""conda-env-AC209-py"""
4,"""python""","""conda-env-fastai-py"""
4,"""python""","""dsfp5"""
4,"""python""","""conda-env-temp9-py"""
4,"""""","""aimlbot"""
4,"""python""","""conda-env-hyperparameters-optimization-py"""
4,"""python""","""mass_spec_cori"""
4,"""python""","""forms2"""
4,"""python""","""conda-env-course2016-py"""
4,"""python""","""freecad_kernel"""
4,"""R""","""conda-env-IOOS-r"""
4,"""python""","""conda-env-nlp-py"""
4,"""python""","""conda-env-abg-py"""
4,"""""","""pysparkkernel"""
4,"""python""","""mutate"""
4,"""python""","""conda_datatest"""
4,"""""","""spark"""
4,"""python""","""conda-env-csc322622-py"""
4,"""python""","""conda-env-mnist-sounds-py"""
4,"""octave""","""octave_kernel"""
4,"""python""","""conda_tf"""
4,"""python""","""conda-env-pytorch-py"""
4,"""python""","""geepy3"""
4,"""python""","""conda-env-cellpy-py"""
4,"""python""","""conda-env-solidspy-dev-py"""
4,"""python""",""".whatstk"""
4,"""python""","""conda-env-odm2client-py"""
4,"""python""","""conda-env-py3_spgh_dev-py"""
4,"""python""","""python27"""
4,"""python""","""Python [summerschool]"""
4,"""R""","""r-spark21"""
4,"""python""","""conda-env-xpysis-dev-py"""
4,"""python""",""".tracy"""
4,"""python""","""conda-env-pyjedi-py"""
4,"""python""","""conda-env-projects-py"""
4,"""python""","""conda-env-py3.5-py"""
4,"""python""","""conda-env-sk-py"""
4,"""python""","""Python [anaconda27]"""
4,"""python""","""Python [echo]"""
4,"""python""","""conda-env-hot_plasma_1_paper-py"""
4,"""python""","""conda-env-fludashboard-development-py"""
4,"""python""","""conda-env-carnd-py"""
4,"""python""","""conda-env-neural-networks-py"""
4,"""python""","""conda-env-tensorflow2-py"""
4,"""python""","""conda-env-mllearn-py"""
4,"""python""","""deeplearningproject"""
4,"""python""","""Python [test_gwr]"""
4,"""python""","""conda-env-tf18_1-py"""
4,"""python""","""conda-env-dl_u-py"""
4,"""javascript""","""eclairjs"""
4,"""python""","""learning"""
4,"""python""","""tf"""
4,"""python""","""geetools_py3"""
4,"""python""","""conda-env-tf2-py"""
4,"""r""","""ir"""
4,"""python""","""conda-env-openpiv-py"""
4,"""python""","""research"""
4,"""python""","""conda-env-idp2-py"""
4,"""php""","""jupyter-php"""
4,"""python""","""conda-env-ds100bow-py"""
4,"""python""","""dnm-opt"""
4,"""python""","""conda-env-jupyter-py"""
4,"""python""","""pyspark3"""
3,"""python""","""tensorocv"""
3,"""python""","""python3_conda"""
3,"""python""","""zipline34"""
3,"""python""","""pypy"""
3,"""gnuplot""","""gnuplot"""
3,"""python""","""charis"""
3,"""python""","""conda-env-rp-py"""
3,"""python""","""spark2.1.0_pyspark"""
3,"""python""","""conda-env-sdcnd-py"""
3,"""python""","""conda-env-keras_tensorflow-py"""
3,"""python""","""predictivemaintenance_dlvmjme"""
3,"""python""","""conda-python3"""
3,"""python""","""conda-env-nb35-py"""
3,"""python""","""mongodb-kernel"""
3,"""python""","""Python [pyart35]"""
3,"""python""","""conda-env-data-py"""
3,"""python""","""conda-env-Python3-py"""
3,"""python""","""conda-env-turk-py"""
3,"""python""","""pgmpy"""
3,"""python""","""presentations_env"""
3,"""python""","""matplotlib"""
3,"""python""","""conda-env-USelections-py"""
3,"""python""","""conda_py3tf"""
3,"""python""","""conda-env-stats-py"""
3,"""python""","""python3-spark20"""
3,"""python""","""haeds"""
3,"""python""","""ed"""
3,"""python""","""conda-env-forms2-py"""
3,"""python""","""psi"""
3,"""python""","""conda-env-image-processing-py"""
3,"""python""","""cetb"""
3,"""""","""toree210"""
3,"""python""","""mypy3"""
3,"""python""","""conda-env-python36-py"""
3,"""python""","""conda-env-condapy2-py"""
3,"""python""","""conda-env-openCV-py"""
3,"""scala""","""spylon-kernel"""
3,"""python""","""Python [hdbscan_dev]"""
3,"""python""","""yapt"""
3,"""python""","""pythonwithpixiedustspark20"""
3,"""python""","""conda-env-conda-py"""
3,"""python""","""conda-env-mlbook-py"""
3,"""python""","""conda-env-Python3.5-py"""
3,"""python""","""tflearn"""
3,"""python""","""conda-env-eniric-py"""
3,"""python""","""rlac-momento"""
3,"""python""","""conda-env-testsuite-py"""
3,"""python""","""ekans_py27"""
3,"""python""","""flutype_webapp"""
3,"""python""","""Python [datasci]"""
3,"""python""","""Python [dlnd-tf-lab]"""
3,"""""","""sparkkernel"""
3,"""python""","""Python [pykrige_dev]"""
3,"""python""","""conda-env-pysinga-py"""
3,"""python""","""conda-env-thw-py"""
3,"""python""","""dsawl_env"""
3,"""python""","""genetic-variation"""
3,"""python""","""conda-env-py3-dev-py"""
3,"""python""","""kerastf_python3"""
3,"""python""","""desi-development"""
3,"""c""","""c_kernel"""
3,"""elm""","""elm"""
3,"""python""","""conda-env-work-py"""
3,"""R""","""conda-env-jupyter_r-r"""
3,"""R""","""R [jupyter_r]"""
3,"""python""","""python3-env"""
3,"""python""","""conda-env-box-py"""
3,"""python""","""Python [Test]"""
3,"""python""","""conda-env-geo-py"""
3,"""python""","""conda-env-plotly-py"""
3,"""python""","""py3.6"""
3,"""python""","""bsu3"""
3,,""""""
3,"""python""","""helpint"""
3,"""sagemath""","""sagemath"""
3,"""python""","""conda-env-seg_competition-py"""
3,"""python""","""conda-env-odm2client_20180915-py"""
