N,kernel_lang,kernel_name
1,"""python""","""taxi_py3"""
1,"""python""","""conda-env-replication-py"""
1,"""python""","""conda-env-dev.py3.dammit-py"""
1,"""python""","""sdnfastai"""
1,"""python""","""gwpy.detchar"""
1,"""""","""neptune-kernel"""
1,"""python""","""conda-env-pyxrf_dev-py"""
1,"""python""","""Python [bdranalytics]"""
1,"""python""","""deepws"""
1,"""python""","""snschops"""
1,"""python""","""conda-env-umap_dev-py"""
1,"""python""","""conda-env-kidsPy2-py"""
1,"""python""","""conda-env-myvenv-py"""
1,,"""conda-root-py"""
1,"""""","""ophiuchus"""
1,"""python""","""conda-env-panoptes-env-py"""
1,"""scala""","""KERNEL_NAME"""
1,"""python""","""pygam36"""
1,"""python""","""slidetest"""
1,"""R""","""conda-env-R_wPY35-r"""
1,"""python""","""clean3.5"""
1,"""python""","""auto_cual-id-conda"""
1,"""python""","""optirun"""
1,"""python""","""cubeenv"""
1,"""python""","""gsa2018"""
1,"""python""","""conda-env-Py3ML-py"""
1,"""python""","""desi-master-ioannis"""
1,"""python""","""conda-env-arc-py"""
1,"""python""","""conda-env-Deep-py"""
1,"""python""","""py3k"""
1,"""python""","""conda-env-working_estnltk-py"""
1,"""python""","""conda-env-nd013-py"""
1,"""rust""","""rust"""
1,"""python""","""conda-env-cryptocurrency-analysis-py"""
1,"""python""","""conda_virtualenv"""
1,"""R""","""scnorm_r"""
1,"""python""","""conda-env-rllab3-py"""
1,"""python""","""conda-env-yelp-py"""
1,"""python""","""conda-env-rpy2_setup-py"""
1,"""python""","""conda-env-pl35-py"""
1,"""python""","""hiho"""
1,"""""","""rik_ssh_homard_python27"""
1,"""Fortran""","""coarray-fortran"""
1,"""python""","""conda-env-2016.10.21-py"""
1,"""python""","""conda-env-bstore-py"""
1,"""python""","""conda-env-folium-py"""
1,"""python""","""conda-env-neighbor-py"""
1,"""python""","""geocomp"""
1,"""python""","""conda-env-python3env-py"""
1,"""python""","""py4eng"""
1,"""python""","""ai_talk_code"""
1,"""python""","""idigbio-python-client3"""
1,"""python""","""xrft"""
1,"""bash""","""calysto_bash"""
1,"""python""","""russianhousingmarket"""
1,"""python""","""conda-env-gdal-py"""
1,"""python""","""Python [Data_Gathers]"""
1,"""python""","""tmvenv"""
1,"""python""","""Python [dlnd]"""
1,"""Python""","""@@name@@"""
1,"""python""","""conda-env-cx-py"""
1,"""c""","""c_spec"""
1,"""python""","""pybert_32"""
1,"""python""","""conda-root"""
1,"""python""","""conda-env-coss2018_mri-py"""
1,"""R""","""conda-env-py3-r"""
1,"""python""","""conda-env-vaex-forge2-py"""
1,"""python""","""cntk-py35"""
1,"""""","""py36"""
1,"""python""","""conda-env-mypy-py"""
1,"""python""","""intel_distribution_of_python_3_2018u1"""
1,"""python""","""paramiko-motm"""
1,"""python""","""py3_env"""
1,"""python""","""conda-env-ptsa-py"""
1,"""python""","""analysis-17q3.0_srv1"""
1,"""R""","""vamf_r"""
1,"""python""","""conda-env-bubble-py"""
1,"""python""","""tfkeras"""
1,"""python""","""conda-env-geospatial-py"""
1,"""swift""","""swift"""
1,"""python""","""conda-env-dev3-py"""
1,"""python""","""conda-env-geotwitter-py"""
1,"""""","""mleap-spark"""
1,"""python""","""Python [cntk-py35]"""
1,"""python""","""conda-env-ksproject1-py"""
1,"""python""","""conda-env-pandas_19_2-py"""
1,"""python""","""pysyft"""
1,"""python""","""Python [graphlab]"""
1,"""python""","""chx_debug"""
1,"""python""","""conda-env-clusterclyde-py"""
1,"""python""","""seaborn"""
1,"""python""","""conda-env-gis-py"""
1,"""python""","""Python [python2]"""
1,"""python""","""conda-env-nomkl-py"""
1,"""python""","""conda-env-tl_cycing_34-py"""
1,"""python""","""conda-env-spfemenv-py"""
1,"""python""","""conda-env-s2rnai-py"""
1,"""python""","""Python [python35]"""
1,"""python""","""python3.5_pytorch0.2"""
1,"""python""","""experimental-current"""
1,"""python""","""sea-lions-virtualenv"""
1,"""python""","""arviz3_6"""
1,"""python""","""auto_lter-conda"""
1,"""python""","""conda-env-keras1-py"""
1,"""python""","""conda-env-mammut-36-py"""
1,"""python""","""conda-env-credolib-py"""
1,"""python""","""conda-env-lse-py"""
1,,"""python"""
1,"""python""","""Python [blog-env]"""
1,"""python""","""icwsm"""
1,"""python""","""conda-env-tweets_USA-py"""
1,"""python""","""researchenv"""
1,"""python""","""conda-env-riboraptor-py"""
1,"""python""","""reinvent"""
1,"""python""","""conda-env-dsci6007-py"""
1,"""python""","""conda-env-sfp-py"""
1,"""python""","""conda-env-gofamiliar-py"""
1,"""python""","""conda-env-yourNewEnvironment-py"""
1,"""scala""","""arabesque_1.0.0-spark_scala"""
1,"""""","""archivespark2"""
1,"""python""","""conda-env-python3Env-py"""
1,"""python""","""conda-env-ada-py"""
1,"""python""","""conda-env-colour-2.7-py"""
1,"""python""","""double11"""
1,"""python""","""conda-env-udacity_p2-py"""
1,"""python""","""pimp"""
1,"""python""","""pysm2"""
1,"""lua""","""KERNEL_NAME"""
1,"""python""","""conda-env-shipdetection-py"""
1,"""python""","""conda-env-track_env-py"""
1,"""python""","""conda_two"""
1,"""R""","""scone_r"""
1,"""python""","""Python [hyperparams]"""
1,"""python""","""Python [py34]"""
1,"""python""","""conda-env-tf35-py"""
1,"""python""","""conda-env-booq-py"""
1,"""python""","""conda-env-ophiuchus-dev-py"""
1,"""""","""mpstmhal"""
1,"""python""","""anaconda_py34"""
1,"""python""","""gpflow_venv"""
1,"""python""","""mxnet"""
1,"""python""","""conda-env-poetry-py"""
1,"""python""","""conda-env-skccm-py"""
1,"""python""","""Python [env_rl]"""
1,"""python""","""Python [capstone]"""
1,"""text""","""tdi"""
1,"""python""","""nowarn"""
1,"""python""","""keras2.1.1-tensorflow"""
1,"""python""","""conda-env-effelsberg-py"""
1,"""python""","""conda-env-bempp-py"""
1,"""python""","""eniric"""
1,"""text""","""mdstcl"""
1,"""python""","""conda-env-edas-py"""
1,"""python""","""conda-env-unidata-workshop-py"""
1,"""python""","""antara"""
1,"""python""","""conda-env-dev.py3.khmer.assembly-py"""
1,"""python""","""conda-env-mayavi_jupyter-py"""
1,"""python""","""conda-env-snakes-py"""
1,"""python""","""conda-env-test_env-py"""
1,"""python""","""conda-env-mltoolbox_testing-py"""
1,"""python""","""conda-env-hdf_blog_test-py"""
1,"""python""","""Python [cntk-py34]"""
1,"""R""","""seurat_r"""
1,"""python""","""etk2_env"""
1,"""python""","""conda-env-rast-py"""
1,"""python""","""mierobotpy2"""
1,"""python""","""conda-env-web3-py"""
1,"""python""","""mkgu"""
1,"""python""","""Python [network]"""
1,"""python""","""conda-env-estnltk141-py"""
1,"""python""","""clean"""
1,"""python""","""pytorch0.2"""
1,"""python""","""mypython2"""
1,"""python""","""machinelearning"""
1,"""python""","""conda-env-gala-biff-dev-py"""
1,"""python""","""forecastonishing_env"""
1,"""python""","""desi-17.9"""
1,"""/Users/Enkay/anaconda/bin/python""","""python2"""
1,"""python""","""py3torch"""
1,"""python""","""marchmad"""
1,"""python""","""distributed_ideation"""
1,"""j""","""jkernel"""
1,"""python""","""3.6_nilearn_01"""
1,"""""","""sparql"""
1,"""python""","""imaging-py2.7"""
1,"""python""","""mpworks"""
1,"""python""","""Python [ml-env]"""
1,"""python""","""python3_brew"""
1,"""python""","""tableau"""
1,"""perl6""","""perl6"""
1,"""python""","""Python [endava35]"""
1,"""python""","""turb"""
1,"""python""","""digicampipe"""
1,"""q""","""q"""
1,"""python""","""combatpy_python"""
1,"""""","""joypy"""
1,"""R""","""combatpy_r"""
1,"""python""","""cti-python-stix2"""
1,"""python""","""conda_pymc3"""
1,"""python""","""conda-env-vk_env01-py"""
1,"""python""","""{{ cookiecutter.conda_env_name }}"""
1,"""python""","""conda-env-pre-proc-py"""
1,"""python""","""dev44_27"""
1,"""python""","""conda-env-miniflow-py"""
1,"""python""","""python3.3"""
1,"""python""","""Python [elfi]"""
1,"""python""","""conda-env-kcl-fire-aot-py"""
1,"""python""","""lsst_stack"""
1,"""python""","""pythonwithpixiedustspark16"""
1,"""python""","""conda-env-namicAnacondaEnv-py"""
1,"""python""","""conda-env-opsd_time_series-py"""
1,"""python""","""wwbt_pipenv"""
1,"""python""","""conda_deeplearning"""
1,"""mrbayes""","""mrbayes_kernel"""
1,"""python""","""conda-env-ioos36-py"""
1,"""python""","""enron"""
1,"""python""","""face_recog"""
1,"""""","""openmdao-0.10.3.2"""
1,"""""","""atk"""
1,"""python""","""plot"""
1,"""python""","""conda-env-pycalphad-release-py"""
1,"""python""","""conda_qiime2-pipeline"""
1,"""python""","""Python [mtf]"""
1,"""python""","""py3itac"""
1,"""python""","""pybromo_env"""
1,"""python""","""python3-yt"""
1,"""python""","""conda-env-astra-dbg-py"""
1,"""python""","""bayesian_optimization"""
1,"""""","""lupyter"""
1,"""python""","""conda-env-jup-blog-py"""
1,"""python""","""conda-env-py3env-py"""
1,"""python""","""conda-env-datascience-py"""
1,"""python""","""conda-env-condap3-py"""
1,"""python""","""ensembles"""
1,"""R""","""r-spark20"""
1,"""python""","""my_ms_lib"""
1,"""python""","""conda-env-bccn2017-py"""
1,"""""","""spring_kernel"""
1,"""python""","""macosko2015-env"""
1,"""python""","""conda-env-pmsearch-py"""
1,"""python""","""conda-env-DeepLearning-py"""
1,"""python""","""riboraptor_clean"""
1,"""python""",
1,"""python""","""teweb-api"""
1,"""python""","""t3"""
1,"""""","""mpunix"""
1,"""python""","""auto_data-analysis-conda"""
1,"""""","""sunpy-release"""
1,"""ansible""","""ansible"""
1,"""python""","""sys-py"""
1,"""python""","""conda-env-vtk-py"""
1,"""python""","""python [root]"""
1,"""matlab""","""imatlab"""
1,"""python""","""conda-env-NewEnv-py"""
1,"""python""","""conda-env-my_env-py"""
1,"""python""","""Python [python27-web]"""
1,"""python""","""fsclvm_python"""
1,"""R""","""svaseq_r"""
1,"""python""","""env-nmfsubnet"""
1,"""python""","""conda-env-deep-learning-py"""
1,"""python""","""jython_kernel"""
1,"""python""","""bitcoin-prices"""
1,"""python""","""conda-env-mayavi2-py"""
1,"""python""","""scrapy-env"""
1,"""python""","""py3dev"""
1,"""python""","""conda-env-vlgp-py"""
1,"""python""","""deep3"""
1,"""python""","""doppelganger"""
1,"""python""","""handson-ml"""
1,"""python""","""flutype_webapp3"""
1,"""python""","""language"""
1,"""python""","""conda-env-BigData-py"""
1,"""sql""","""sql"""
1,"""python""","""pychx_comp"""
1,"""python""","""conda-env-auction_test-py"""
1,"""python""","""pikepdf"""
1,"""python""","""conda-env-mpl2-py"""
1,"""python""","""conda-env-untitled1-py"""
1,"""""","""jskernel"""
1,"""python""","""lime"""
1,"""ignore""","""ignore"""
1,"""spad""","""ifricas"""
1,"""python""","""foliumdev34"""
1,"""python""","""conda-env-rewards_py2-py"""
1,"""python""","""conda-env-CGSN-py"""
1,"""python""","""akit"""
1,"""python""","""conda-env-pycharmDev-py"""
1,"""python""","""tnsorflow"""
1,"""python""","""conda-env-femiani-py"""
1,"""python""","""conda-env-Py2-py"""
1,"""python""","""conda-env-sfa_dev-py"""
1,"""python""","""Python [deep_surv]"""
1,"""python""","""idax-python"""
1,"""python""","""conda-env-pytorch-dev-py"""
1,"""python""","""conda-env-PBM_testing-py"""
1,"""""","""scala"""
1,"""cpp""","""cpp"""
1,"""python""","""Python [python-dev]"""
1,"""python""","""venv_c_o_w"""
1,"""python""","""tensorflow_1.0_isolated"""
1,"""python""","""pm2_dlvm"""
1,"""python""","""conda-env-Python_2.7-py"""
1,"""python""","""plant_notebooks"""
1,"""python""","""Python [azurecli]"""
1,"""python""","""conda-env-outreach-py"""
1,"""python""","""conda-env-py35_b-py"""
1,"""R""","""conda-env-R-env-r"""
1,"""python""","""dev"""
1,"""R""","""scran_r"""
1,"""python""","""conda-env-py36n-py"""
1,"""python""","""whose_env"""
1,"""python""","""Python [dato-env]"""
1,"""python""","""hoh-gwuhn"""
1,"""python""","""conda-env-python_3-py"""
1,"""python""","""mmdnet"""
1,"""python""","""conda-env-googlepicks-py"""
1,"""python""","""irl_python3"""
1,"""python""","""conda-env-plotting_intro-py"""
1,"""python""","""conda-env-env35-py"""
1,"""""","""py35"""
1,"""python""","""kcl-fire-aot"""
1,"""python""","""conda-env-tf_cpu-py"""
1,"""python""","""conda-env-pancancer-classifier-py"""
1,"""python""","""Python [iaml]"""
1,"""python""","""conda-env-ml1labs-py"""
1,"""python""","""conda_nams"""
1,"""python""","""conda-env-graphics-py"""
1,"""R""","""limma_r"""
1,"""stimsym""","""stimsym"""
1,"""python""","""conda-env-py2k-py"""
1,"""python""","""conda-env-notebooks-py"""
1,"""python""","""env2-evaluation-kernel"""
1,"""python""","""uptodate"""
1,"""TutorialD""","""tutd"""
1,"""python""","""conda-env-Auspex-py"""
1,"""python""","""fai"""
1,"""c""","""bash"""
1,"""python""","""python361"""
1,"""python""","""cameo-env"""
1,"""python""","""conda-env-tweet_py2-py"""
1,"""python""","""tf_1_1"""
1,"""javascript""",
1,"""python""","""p36"""
1,"""python""","""conda-env-QISKitenv-py"""
1,"""python""","""conda-env-dask-py"""
1,"""twocode""","""twocode"""
1,"""python""","""Python [traffic-signs]"""
1,"""python""","""conda-env-calour-py"""
1,"""python""","""conda-env-dsotc-c3-py"""
1,"""python""","""conda-env-tm-py"""
1,"""""","""xf23id1-srv1"""
1,"""python""","""ica"""
1,"""python""","""conda-env-skedm_env-py"""
1,"""python""","""conda-env-analysis-py"""
1,"""python""","""conda-env-miniconda3-py"""
1,"""python""","""wtte-dev"""
1,"""python""","""py2env"""
1,"""python""","""conda-env-qmworks-py"""
1,"""python""","""Python [intro]"""
1,"""python""","""deeplearning3.5"""
1,"""python""","""conda-env-AAshish-py"""
1,"""python""","""conda-env-webdev-py"""
1,"""python""","""conda-env-bdranalytics-py"""
1,"""python""","""snakeflow"""
1,"""python""","""conda-env-remote-geomod-py"""
1,"""python""","""conda-env-gefry3-py3-py"""
1,"""python""","""conda-env-abc4py-py"""
1,"""python""","""conda-env-50states-py"""
1,"""python""","""conda-env-geopandas-py"""
1,"""python""","""python2-wrapper"""
1,"""python""","""conda-env-LinearRegressionEx-py"""
1,"""python""","""conda-env-casper-py"""
1,"""python""","""conda-env-grafeno-py"""
1,"""python""","""conda-env-astroconda3-py"""
1,"""python""","""conda-env-test-py"""
1,"""python""","""Python [data-cleaner]"""
1,"""sparql""","""sparql"""
1,"""javascript""","""ijavascript"""
1,"""python""","""tf12"""
1,"""python""","""prototyping"""
